ACCOLATE,Zafirlukast,Asthma: Chronic urticaria (off-label use):
DELESTROGEN,Estradiol,"Hypoestrogenism (female) due to hypogonadism: General dosing guidelines: Prostate cancer, advanced: Breast cancer, metastatic: Osteoporosis prevention (females): Vasomotor symptoms associated with menopause: Note: Vulvar and vaginal atrophy associated with menopause:  Hypoestrogenism (female) due to hypogonadism, castration, or primary ovarian failure: 
        <i>Transdermal product-specific dosing: </i>"
DEPAKOTE ER,Valproate,Mania: Migraine prophylaxis:  Status epilepticus (off-label use): Traumatic brain injury related agitation and aggression (off-label use): Note:  Painful diabetic neuropathy (off-label use): Postherpetic neuralgia (off-label use): Seizures:
DEPAKOTE SPRINKLE,Valproate,Mania: Migraine prophylaxis:  Status epilepticus (off-label use): Traumatic brain injury related agitation and aggression (off-label use): Note:  Painful diabetic neuropathy (off-label use): Postherpetic neuralgia (off-label use): Seizures:
DEPO-MEDROL,Methylprednisolone,"Only sodium succinate salt may be given IV. Spinal cord injury, acute (off-label use): Lupus nephritis (off-label dosing): Gout, acute (off-label dosing): Multiple sclerosis, acute exacerbation: Bronchiolitis obliterans syndrome, prevention (off-label use): Asthma, long-term (maintenance) (NAEPP 2007): Arthritis: Cadaveric organ recovery (hormonal resuscitation) (off-label use): Nausea and vomiting of pregnancy, severe/refractory (off-label use): Allergic conditions: Alcoholic hepatitis (severe) (off-label use): Acute respiratory distress syndrome (ARDS), moderate to severe (off-label use): Note: Prostate cancer, metastatic, castration-resistant (off-label use): Dermatomyositis/polymyositis (off-label dosing): 
        <i>Pneumocystis </i> Asthma, exacerbations: Cardiac transplant: Acute cellular rejection (treatment) or antibody-mediated rejection (treatment) (off-label use): Anti-inflammatory or immunosuppressive:  COPD exacerbation (off-label use):"
DEPO-PROVERA,Medroxyprogesterone acetate,"Endometriosis (Depo-subQ Provera 104): Amenorrhea, secondary: Contraception: Endometrial hyperplasia prevention in postmenopausal persons receiving daily conjugated estrogen (alternative agent): Abnormal uterine bleeding: Hot flashes (off-label use):  Paraphilia/hypersexuality (off-label use) (Reilly 2000): Endometrial hyperplasia, treatment (off-label use): Note:  Endometrial carcinoma, recurrent or metastatic (adjunctive/palliative treatment):"
DERMA-,Fluocinolone,Acute otitis media in patients with tympanostomy tubes:
DERMATOP,Prednicarbate,Steroid-responsive dermatoses:
DERMOTIC,Fluocinolone,Acute otitis media in patients with tympanostomy tubes:
DESMOPRESSIN,Desmopressin,"Diabetes insipidus: Note: Intracranial hemorrhage associated with certain antiplatelet agents (aspirin, clopidogrel, prasugrel, ticlopidine, ticagrelor, cangrelor) (off-label use):  Nocturia: Prevention of surgical bleeding in patients with uremia (off-label use in US): Primary nocturnal enuresis: Uremic bleeding: Uremic bleeding associated with acute or chronic renal failure (off-label use in US): Hemophilia A and von Willebrand disease (type 1):"
DESOWEN,Desonide,Corticosteroid responsive dermatoses: Atopic dermatitis:
DETROL,Tolterodine,Treatment of overactive bladder:
DETROL LA,Tolterodine,Treatment of overactive bladder:
DEXEDRINE,Dextroamphetamine,Narcolepsy:
DIABETA,Glyburide,"Management of noninsulin-dependent diabetes mellitus in patients previously maintained on insulin: Diabetes mellitus, type 2: not"
DIAMOX SEQUELS,Acetazolamide,"Edema: Epilepsy: Metabolic alkalosis (off-label use): Hydrocephalous, normal pressure (off-label use): Respiratory stimulant in stable hypercapnic COPD (off-label use): Idiopathic intracranial hypertension (off-label use): Altitude illness: Glaucoma: Familial periodic paralysis (off-label use):  Prevention of cystine renal calculi (adjunctive therapy) (off-label use): "
DIASTAT,Diazepam,Muscle spasm: Skeletal muscle relaxant (adjunct therapy):  Preoperative: Anxiety: Sedation in the ICU patient: Seizures: Acute ethanol withdrawal: Anxiety (symptoms/disorders):  Status epilepticus:
DIAZEPAM,Diazepam,Muscle spasm: Skeletal muscle relaxant (adjunct therapy):  Preoperative: Anxiety: Sedation in the ICU patient: Seizures: Acute ethanol withdrawal: Anxiety (symptoms/disorders):  Status epilepticus:
DIBENZYLINE,Phenoxybenzamine,Micturition disorders (off-label use): Pheochromocytoma:
DIFFERIN GEL,Adapalene,Acne vulgaris: Rosacea (off-label use):
DIFLUCAN,Fluconazole,Usual dosage range: Indication-specific dosing:
DILANTIN,Phenytoin,Seizures (non-emergent): Status epilepticus:
DILANTIN-125,Phenytoin,Seizures (non-emergent): Status epilepticus:
DILAUDID,Hydromorphone,Chronic pain: Pain management: Moderate to severe pain:
DIPROLENE,Betamethasone,Couldn't get indication.
DITROPAN XL,Oxybutynin,Primary hyperhidrosis (off-label use): Overactive bladder:
DIURIL,Chlorothiazide,Hypertension: Edema:
DOLOPHINE,Methadone,Detoxification (short-term): Pain management: Detoxification: Note: 
DORAL,Quazepam,Hypnotic:
DORIBAX,Doripenem,"Intravenous catheter-related bloodstream infection (off-label use): Intra-abdominal infection, complicated: Urinary tract infection, complicated (including pyelonephritis):"
DORYX,Doxycycline,"Periodontitis, chronic: Pneumonia, community-acquired Lyme disease (<i>Borrelia</i> spp. infection) (off-label use): Pleurodesis, chemical (sclerosing agent for pleural effusion) (off-label use):  
        <i>Bartonella</i> Bite-wound infection, prophylaxis or treatment (animal and human bites; alternative agent) (off-label use): Sexually transmitted infections: Usual dosage range: Malaria: Q fever: Rhinosinusitis, acute bacterial (alternative agent for beta-lactam intolerance) (off-label use): Tularemia (<i>Francisella tularensis</i>): Anaplasmosis and ehrlichiosis (off-label use) Surgical prophylaxis, uterine evacuation (induced abortion or pregnancy loss) (off-label use):  Brucellosis: Note:  Cholera (<i>Vibrio cholerae</i>), treatment (adjunctive therapy for severely ill patients):  Rocky Mountain spotted fever: Cellulitis, mild to moderate (outpatient treatment; empiric coverage of MRSA) (off-label use): Anthrax: Note: Plague <i>(Yersinia pestis</i>) Acne vulgaris (moderate to severe, inflammatory) (off-label dose):  Rosacea, moderate to severe or unresponsive to topical therapy:  Prosthetic joint infection (off-label use):"
DOSTINEX,Cabergoline,Cushing syndrome (off-label use): Hyperprolactinemic disorders: Restless legs syndrome (off-label use):  Lactation inhibition
DOVONEX,Calcipotriol,Plaque psoriasis:
DOXIL,Pegylated liposomal doxorubicin,"Liposomal formulations of doxorubicin should NOT be substituted for conventional doxorubicin hydrochloride on a mg-per-mg basis.  Soft tissue sarcoma, advanced (off-label use): Hodgkin lymphoma, salvage treatment (off-label use): Multiple myeloma:  Cutaneous T-cell lymphomas (off-label use): Ovarian cancer, advanced: Uterine sarcoma, advanced or recurrent (off-label use): AIDS-related Kaposi sarcoma: Breast cancer, metastatic (off-label use):"
DOXORUBICIN,Doxorubicin formulations,Couldn't get indication.
DRISDOL,Vitamin D2,Vitamin D deficiency treatment (off-label dose): Vitamin D Vitamin D deficiency/insufficiency Hypoparathyroidism: Osteoporosis prevention (off-label use):
DUAC,Clindamycin-benzoyl peroxide,Inflammatory acne: Acne: Rosacea (off-label use): 
DUETACT,Pioglitazone-glimepiride,"Dosage adjustment for hypoglycemia with combination therapy: Diabetes mellitus, type 2:  Dosage adjustment:"
DURAGESIC-100,Fentanyl,Surgery: Chronic pain management (opioid-tolerant patients only): Pain management: Breakthrough cancer pain: 
DURAGESIC-12,Fentanyl,Surgery: Chronic pain management (opioid-tolerant patients only): Pain management: Breakthrough cancer pain: 
DURAGESIC-25,Fentanyl,Surgery: Chronic pain management (opioid-tolerant patients only): Pain management: Breakthrough cancer pain: 
DURAGESIC-50,Fentanyl,Surgery: Chronic pain management (opioid-tolerant patients only): Pain management: Breakthrough cancer pain: 
DURAGESIC-75,Fentanyl,Surgery: Chronic pain management (opioid-tolerant patients only): Pain management: Breakthrough cancer pain: 
DUTOPROL,Metoprolol-hydrochlorothiazide,Hypertension: succinate tartrate
EDECRIN,Ethacrynic acid,Note:  Edema:
EFFEXOR XR,Venlafaxine,"Generalized anxiety disorder: Obsessive-compulsive disorder (alternative agent) (off-label use): Note: Vasomotor symptoms associated with menopause (alternative agent) (off-label use): Note: Posttraumatic stress disorder (off-label use): 
        <i>Discontinuation of therapy:</i> Narcolepsy with cataplexy (off-label use): Episodic migraine prevention (off-label use):  Panic disorder: Dosing conversion: Ne Premenstrual dysphoric disorder (alternative agent) (off-label use): Social anxiety disorder:  Major depressive disorder (unipolar): 
        <i>Switching antidepressants: </i>"
EFUDEX,Fluorouracil,"Bladder cancer (off-label use): Glaucoma surgery, adjunctive therapy (off-label use):  Cervical cancer (off-label use): Colorectal cancer: Pancreatic cancer: Vulvar cancer, advanced (off-label use):  Esophageal cancer (off-label use): Head and neck cancer, squamous cell (off-label use): Gastric cancer: Breast cancer: Neuroendocrine tumors, pancreatic (off-label use):  Penile cancer, advanced, squamous cell (off-label use): Unknown primary cancer, squamous cell (off-label use):  Hepatobiliary cancer (off-label use): Anal carcinoma (off-label use):"
ELDEPRYL,Selegiline,Discontinuation of therapy: Parkinson disease:  Depression: MAO inhibitor recommendations:
ELOXATIN,Oxaliplatin,"Esophageal/gastric cancers (off-label use): Neuroendocrine tumors (carcinoid), refractory (off-label use): Testicular cancer, refractory (off-label use): Pancreatic cancer, advanced (off-label use): Chronic lymphocytic leukemia, fludarabine-refractory (off-label use): Ovarian cancer, advanced (off-label use): Colon cancer, stage III (adjuvant therapy): Colon/colorectal cancer (off-label doses or combinations): Unknown primary cancer, recurrent or refractory (off-label use): Biliary adenocarcinoma, advanced (off-label use): Colorectal cancer (advanced): Non-Hodgkin lymphoma, relapsed/refractory (off-label use):"
EMLA,Lidocaine and prilocaine,Anesthetic:
ENTOCORT EC,Budesonide,"Eosinophilic esophagitis (off-label use): Crohn disease, mild to moderate (active):  Ulcerative colitis (active):"
EPIDUO,Adapalene-benzoyl peroxide,Acne vulgaris:
EPIPEN,Epinephrine (adrenaline) (systemic),"Note: As of May 1, 2016, ratio expressions of epinephrine concentrations are prohibited on drug labels. Ampules, vials, and syringes of epinephrine with ratio expressions may, however, remain in inventory until replaced by products with revised labeling. Therefore, the ratio expression of 1:1,000 is equivalent to 1 mg/mL and 1:10,000 is equivalent to 0.1 mg/mL (ISMP 2015). Acute severe asthma unresponsive to inhaled beta-agonist (off-label use): Hypotension/shock: Hypersensitivity reaction (eg, anaphylaxis):  Asystole/pulseless arrest, pulseless VT/VF (ACLS [Neumar 2010]): Mydriasis during intraocular surgery, induction and maintenance (product specific): Bradycardia (symptomatic; unresponsive to atropine or pacing):"
EPIPEN JR.,Epinephrine (adrenaline) (systemic),"Note: As of May 1, 2016, ratio expressions of epinephrine concentrations are prohibited on drug labels. Ampules, vials, and syringes of epinephrine with ratio expressions may, however, remain in inventory until replaced by products with revised labeling. Therefore, the ratio expression of 1:1,000 is equivalent to 1 mg/mL and 1:10,000 is equivalent to 0.1 mg/mL (ISMP 2015). Acute severe asthma unresponsive to inhaled beta-agonist (off-label use): Hypotension/shock: Hypersensitivity reaction (eg, anaphylaxis):  Asystole/pulseless arrest, pulseless VT/VF (ACLS [Neumar 2010]): Mydriasis during intraocular surgery, induction and maintenance (product specific): Bradycardia (symptomatic; unresponsive to atropine or pacing):"
EPIVIR-HBV,Lamivudine,"HIV-1 nonoccupational postexposure prophylaxis (nPEP) (Epivir) (off-label use) ( Treatment of hepatitis B/HIV coinfection (in patients with both infections requiring treatment) (Epivir): Note: HIV-1 infection, treatment (Epivir, 3TC [Canadian product]): Treatment of hepatitis B (Epivir HBV, Heptovir [Canadian product]):"
EPZICOM,Abacavir-lamivudine,HIV-1 treatment:
ERYC,Erythromycin,Usual dosage range: Indication-specific dosing:
ERYGEL,Erythromycin,Usual dosage range: Indication-specific dosing:
ERYPED,Erythromycin,Usual dosage range: Indication-specific dosing:
EXALGO,Hydromorphone,Chronic pain: Pain management: Moderate to severe pain:
EXELON,Rivastigmine,"Alzheimer dementia, mild to moderate: Lewy body dementia (off-label use): Parkinson-related dementia, mild to moderate: Alzheimer dementia, severe: "
EXFORGE,Amlodipine-valsartan,Hypertension:
EXFORGE HCT,Amlodipine-valsartan-hydrochlorothiazide,Hypertension:
FAMVIR,Famciclovir,Herpes zoster (shingles): Genital herpes simplex virus (HSV) infection: Herpes labialis/orolabial (cold sores): Varicella infection (chickenpox) in HIV-infected patients (uncomplicated cases) (off-label use):
FAMVIR FAMVIR,Famciclovir,Herpes zoster (shingles): Genital herpes simplex virus (HSV) infection: Herpes labialis/orolabial (cold sores): Varicella infection (chickenpox) in HIV-infected patients (uncomplicated cases) (off-label use):
FAZACLO,Clozapine,"
        <i>Discontinuation of therapy:</i> 
        <i>Reinitiation of therapy:</i> Bipolar disorder (treatment-resistant) (off-label use): Suicidal behavior in schizophrenia or schizoaffective disorder: Psychosis in Parkinson disease (off-label use):  
        <i>Dosage adjustment with concomitant therapy:</i> Schizophrenia:"
FELBATOL,Felbamate,"Partial seizures, adjunctive therapy: Partial seizures, monotherapy:"
FELDENE,Piroxicam,"Osteoarthritis, rheumatoid arthritis: Ankylosing spondylitis, osteoarthritis, rheumatoid arthritis"
FEMCON,Ethinyl estradiol and norethindrone,Osteoporosis prevention: Contraception: Vasomotor symptoms associated with menopause: Postmenopausal indications: Acne:
FENOGLIDE,Fenofibrate,Hypercholesterolemia or mixed hyperlipidemia: Hypertriglyceridemia:
FIBRICOR,Fenofibrate,Hypercholesterolemia or mixed hyperlipidemia: Hypertriglyceridemia:
FIORICET,Butalbital-acetaminophen-caffeine,Tension or muscle contraction headache:
FIORINAL,Butalbital compound,Tension or muscle contraction headache:
FLORONE,Diflorasone,Corticosteroid-responsive dermatosis:
FLUMADINE,Rimantadine,"Influenza A virus, prophylaxis: Influenza A virus, treatment:"
FLUOXETINE,Fluoxetine,Bulimia nervosa: Raynaud phenomena (off-label use): Discontinuation of therapy: Fibromyalgia (off-label use): MAO inhibitor recommendations: Panic disorder: Body dysmorphic disorder Depression: Obsessive-compulsive disorder: Treatment-resistant depression (in combination with olanzapine): Post-traumatic stress disorder (PTSD) (off-label use): Premenstrual dysphoric disorder (Sarafem): Depression associated with bipolar I disorder (in combination with olanzapine): Social anxiety disorder (off-label use): Borderline personality disorder (off-label use):
FML,Fluorometholone,Ocular inflammation:
FOCALIN XR,Dexmethylphenidate,ADHD:  Conversion to dexmethylphenidate from methylphenidate: Dose reductions and discontinuation:  Conversion from dexmethylphenidate immediate release to dexmethylphenidate extended release:
FORTESA,"
       ",Couldn't get indication.
FURADANTIN,Nitrofurantoin,"UTI, prophylaxis: Cystitis, acute uncomplicated, treatment:"
GABITRIL,Tiagabine,Partial seizures (adjunct): Dosage adjustment: 
GASTROCROM,Cromolyn,Food allergy: Systemic mastocytosis:
GENERESS FE,Ethinyl estradiol-norethindrone,Osteoporosis prevention: Contraception: Vasomotor symptoms associated with menopause: Postmenopausal indications: Acne:
GEODON,Ziprasidone,Discontinuation of therapy Acute agitation (schizophrenia): Bipolar disorder (acute and maintenance as adjuncts to lithium or valproate): Delusional infestation (also called delusional parasitosis) (off-label use): Major depressive disorder (adjunct to antidepressants) (off-label use): Schizophrenia:
GLUCOTROL XL,Glipizide,"Note:  Glipizide conversion recommendations:  Diabetes mellitus, type 2, treatment (alternative agent):"
GOLYTELY,Polyethylene glycol-electrolyte solution,Whole bowel irrigation (off-label use) (AACT 2004): Bowel cleansing:
GRIS-PEG,Griseofulvin,"Ultramicrosize: 
        <i>Microsize:</i> Dermatophyte infections:"
HALCION,Triazolam,Insomnia (short-term use): Dental preprocedure oral sedation (off-label use):
HALDOL,Haloperidol,"Chorea of Huntington disease (off-label use): Chemotherapy-induced nausea and vomiting (off-label use): Discontinuation of therapy: Postoperative nausea and vomiting (PONV), prevention (off-label use): Tourette syndrome: Nausea and vomiting in advanced or terminal illness (palliative care; off-label use):  Schizophrenia: Obsessive-compulsive disorder (off-label use): Rapid tranquilization (agitation/aggression/violent behavior) (off-label use): Psychosis: Delirium in the intensive care unit, treatment (off-label use):"
HECTOROL,Doxercalciferol,Secondary hyperparathyroidism:  IV: Oral:
HIPREX,Methenamine,"Urinary tract infection, prophylaxis/suppression: "
IMITREX,Sumatriptan,Cluster headache: Migraine:
INDERAL LA,Propranolol,"AV nodal re-entrant tachycardias) Stable angina: Tremor, lithium-induced (off-label use): Performance anxiety (off-label use): Ventricular arrhythmias due to congenital long QT syndrome (prevention) (off-label use): Ventricular tachycardia (off-label dosing): Akathisia, antipsychotic-induced (off-label use): Thyrotoxicosis (off-label use): Obstructive hypertrophic cardiomyopathy:  Supraventricular tachycardias (eg, <b>AV nodal re-entrant tachycardias)</b>:  Pheochromocytoma: Thyroid storm (off-label use): Post-MI mortality reduction: Essential tremor: Ventricular premature beat (suppression) (off-label use): Hypertension (alternative agents): Variceal hemorrhage prophylaxis (off-label use) Migraine headache prophylaxis: Atrial fibrillation:"
INSPRA,Eplerenone,"Primary aldosteronism, treatment (off-label use):  Heart failure: Hypertension (alternative agent):"
INVEGA,Paliperidone,Discontinuation of therapy Delusional infestation (also called delusional parasitosis) (off-label use): Schizoaffective disorder: Schizophrenia:
IOPIDINE,Apraclonidine,Intraocular pressure reduction: 
ISOPTO CARPINE,Pilocarpine,Xerostomia:
JALYN,Dutasteride-tamsulosin,Benign prostatic hyperplasia (BPH):
K-DUR 10,Potassium chloride,Prevention of hypokalemia: Normal daily requirements: Treatment of hypokalemia:
K-DUR 20,Potassium chloride,Prevention of hypokalemia: Normal daily requirements: Treatment of hypokalemia:
K-TAB,Potassium chloride,Prevention of hypokalemia: Normal daily requirements: Treatment of hypokalemia:
KADIAN,Morphine, Pain management:
KAPVAY,Clonidine,Nicotine withdrawal symptoms (off-label use) (Fiore 2008): Tourette syndrome (off-label use): Opioid withdrawal (off-label use): Hypertension (alternative agent): Pain management: Acute hypertension (urgency) (off-label use): Vasomotor symptoms associated with menopause (off-label use; alternative agent): Clozapine-induced sialorrhea (off-label use):
KAZANO,Alogliptin-metformin,"Diabetes mellitus, type 2:"
KEFLEX,Cephalexin,Usual dosage range: Indication-specific dosing:
KHEDEZLA,Desvenlafaxine,Major depressive disorder (MDD): Discontinuation of therapy: MAO inhibitor recommendations: Vasomotor symptoms associated with menopause (off-label use):
KITABIS PAK,Tobramycin,"CNS shunt infection: Tularemia: Brucellosis: In underweight and nonobese patients, use of total body weight (TBW) instead of ideal body weight for determining the initial mg/kg/dose is widely accepted (Nicolau 1995). Ideal body weight (IBW) also may be used to determine doses for patients who are neither underweight nor obese (Gilbert 2009).  Severe life-threatening infections: Plague Diverticulitis, complicated: Pelvic inflammatory disease: Prophylaxis against endocarditis (dental, oral, upper respiratory procedures, GI/GU procedures): Pneumonia, hospital-acquired or ventilator-associated Meningitis Urinary tract infection, complicated (including pyelonephritis) (alternative agent): Cholangitis:"
KLARON,Sulfacetamide,Couldn't get indication.
LAC-HYDRIN,Ammonium lactate,Couldn't get indication.
LANOXIN,Digoxin,Heart failure: Supraventricular tachycardia (rate control) (off-label use; ACC/AHA/HRS [Page 2015]): Atrial fibrillation (rate control) (off-label dose):
LESCOL XL,Fluvastatin,"Patients requiring &lt;25% decrease in LDL-C: Mixed dyslipidemia: 
        <i>Concomitant use with cyclosporine or fluconazole:</i> Patients requiring 䊫25% decrease in LDL-C: Prevention of cardiovascular disease/reduce the risk of ASCVD:  Heterozygous familial and nonfamilial hypercholesterolemia: US Preventive Services Task Force Recommendations (USPSTF 2016): ACC/AHA Blood Cholesterol Guideline recommendations (ACC/AHA [Stone 2013]): NLA Dyslipidemia guideline recommendations (NLA [Jacobson 2015]): "
LEVO-T,Levofloxacin (systemic),"Prostatitis (chronic bacterial): Epididymitis (off-label use; CDC [Workowski 2015]): Surgical (preoperative) prophylaxis (off-label use): Diabetic foot infections, moderate to severe (off-label use): Plague (prophylaxis and treatment):  Bite wounds (animal/human) (off-label use): 
        <i>Chlamydia trachomatis</i> urogenital infection (alternative to preferred therapy) (off-label use): Chronic bronchitis (acute bacterial exacerbation): Anthrax (inhalational): Tuberculosis, drug-resistant tuberculosis, or intolerance to first-line agents (off-label use):  Skin and skin structure infections: Pelvic inflammatory disease (in patients allergic to cephalosporins; off-label use): Acute bacterial rhinosinusitis: Urinary tract infection: Pneumonia: Intra-abdominal infection, complicated, community-acquired (in combination with metronidazole) (off-label use) (Solomkin, [IDSA] 2010): 
        <i>Helicobacter pylori</i> Surgical site infections (intestinal or genitourinary tract; perineum or axilla) (off-label use): Neutropenia (chemotherapy-induced), antibacterial prophylaxis (off-label use):  Traveler's diarrhea (off-label use): Diverticulitis, peritonitis (off-label use) (Solomkin [IDSA] 2010): Urethritis, nongonococcal (off-label use):"
LEXAPRO,Escitalopram,Premenstrual dysphoric disorder (off-label use): Body dysmorphic disorder (off-label use):  Vasomotor symptoms associated with menopause (alternative agent) (off-label use): Note: Posttraumatic stress disorder (off-label use): Discontinuation of therapy: Switching Obsessive-compulsive disorder (off-label use): Major depressive disorder (unipolar):  Generalized anxiety disorder:  Panic disorder (off-label use):
LIALDA,Mesalamine,"Ulcerative colitis (maintenance of remission): Crohn disease management after surgical resection (off-label use): Ulcerative colitis (treatment): Ulcerative proctitis, active: Distal ulcerative colitis (maintenance of remission): Note:  Crohn disease, mild to moderate (treatment): Crohn disease, mild to moderate (maintenance of remission): Distal ulcerative colitis or proctosigmoiditis, active mild to moderate (treatment):"
LIBRAX,Clidinium-chlordiazepoxide,Emotional and somatic factors in gastrointestinal disorders:  Irritable bowel syndrome: Peptic ulcer:
LIDEX,Fluocinonide,Psoriasis: Other inflammatory and pruritic dermatologic conditions besides atopic dermatitis or psoriasis: Atopic dermatitis:
LIDODERM,Lidocaine,"Interstitial cystitis (bladder pain syndrome) (off-label use): Anesthesia, local injectable: Antiarrhythmic (ACLS 2010; ACLS 2015) (off-label use):"
LIMBITROL,Amitriptyline-chlordiazepoxide,Couldn't get indication.
LIMBITROL DS,Down syndrome,Discontinuation of therapy: MAO inhibitor recommendations: Depression and anxiety:
LIORESAL,Baclofen,"Spasticity: Gastroesophageal reflux disease (off-label use): Nystagmus (off-label use): Hiccups (off-label use): Alcoholic liver disease, alcohol abstinence (off-label use): Trigeminal neuralgia (off-label use):"
LIPITOR,Atorvastatin,Noncardioembolic stroke/TIA (off-label use): Primary prevention:  Prevention of cardiovascular disease/reduce the risk of ASCVD:  Dosage adjustment for atorvastatin with concomitant medications: Intensive lipid-lowering after an ACS event regardless of baseline LDL (off-label use): Cardiac risk reduction for non-cardiac surgery (off-label use): 
LIPOFEN,Fenofibrate,Hypercholesterolemia or mixed hyperlipidemia: Hypertriglyceridemia:
LITHOBID,Lithium,"Bipolar disorder (acute mania, acute depression [off-label use], and maintenance):  Depression, augmentation of antidepressant (off-label use):"
LOCOID,Hydrocortisone,"Thyroid storm (off-label use): Stress dosing in patients known to be adrenally-suppressed (ie, prevention of adrenal crisis in glucocorticoid-treated patients) (off-label dose):  Multiple sclerosis, acute exacerbations: Adrenal insufficiency:  Anti-inflammatory or immunosuppressive: Septic shock (off-label use):  Congenital adrenal hyperplasia (off-label dose):"
LOCOID LIPOCREAM,Hydrocortisone,"Thyroid storm (off-label use): Stress dosing in patients known to be adrenally-suppressed (ie, prevention of adrenal crisis in glucocorticoid-treated patients) (off-label dose):  Multiple sclerosis, acute exacerbations: Adrenal insufficiency:  Anti-inflammatory or immunosuppressive: Septic shock (off-label use):  Congenital adrenal hyperplasia (off-label dose):"
LODOSYN,Carbidopa,Parkinsonism:
LOESTRIN 24,Ethinyl estradiol-norethindrone,Osteoporosis prevention: Contraception: Vasomotor symptoms associated with menopause: Postmenopausal indications: Acne:
LOMOTIL,Diphenoxylate-atropine,"Diarrhea, adjunct therapy:"
LOPRESSOR HCT,Metoprolol-hydrochlorothiazide,Hypertension: succinate tartrate
LOPROX,Ciclopirox,"Onychomycosis of the fingernails and toenails: Tinea cruris, cutaneous candidiasis, and tinea versicolor: Seborrheic dermatitis, scalp:  Tinea pedis, tinea corporis:"
LOTENSIN HCT,Benazepril-hydrochlorothiazide,Hypertension:
LOTORNEX,"
       ",Couldn't get indication.
LOTRIMIN AF,Clotrimazole (topical),"Vulvovaginal candidiasis: Tinea corporis, tinea cruris, tinea pedis (OTC labeling):  Cutaneous candidiasis: Tinea versicolor: "
LOTRISONE,Betamethasone-clotrimazole,"Tinea pedis: Tinea corporis, tinea cruris:"
LOTRONEX,Alosetron,Irritable bowel syndrome (IBS):
LOVAZA,Omega-3-acid ethyl esters,IgA nephropathy (off-label use): Hypertriglyceridemia:
LOVENOX,Enoxaparin,"Mechanical heart valve (aortic or mitral position) to bridge anticoagulation (off-label use): Venous thromboembolism, extended treatment in cancer patients (off-label use):  DVT treatment (acute) and pulmonary embolism (acute) (off-label): ST-elevation MI (STEMI): Conversion: DVT prophylaxis: Unstable angina or non-ST-elevation MI (NSTEMI) (also referred to as NSTE-ACS): Percutaneous coronary intervention (PCI), adjunctive therapy (off-label dosing) (ACCF/AHA/SCAI [Levine, 2011]):"
LOZOL,Indapamide,Hypertension: Calcium nephrolithiasis (off-label use): Edema:
LUVOX,Fluvoxamine,Discontinuation of therapy: MAO inhibitor recommendations: Bulimia nervosa (off-label use): Obsessive-compulsive disorder: Post-traumatic stress disorder (PTSD) (off-label use):  Social anxiety disorder (off-label use): Major depressive disorder (off-label use): Panic disorder (off-label use):
LYSTEDA,Tranexamic acid,"Total hip replacement surgery, blood conservation (off-label use): Elective cesarean section, blood loss reduction (off-label use): Prevention of perioperative bleeding associated with spinal surgery (eg, spinal fusion) (off-label use): Postpartum hemorrhage (off-label use): Traumatic hyphema (off-label use): Cyclic heavy menstrual bleeding:  Trauma-associated hemorrhage (off-label use): Prevention of dental procedure bleeding in patients on oral anticoagulant therapy (off-label use): Hereditary angioedema (HAE), long-term prophylaxis (off-label use): Post-operative bleeding associated with cervical conization (prevention/reduction) (off-label use):  Prevention of perioperative bleeding associated with cardiac surgery (off-label use): Intracranial hemorrhage associated with thrombolytics (plasminogen-activator) (eg, alteplase, reteplase, or tenecteplase) (off-label use):  Tooth extraction in patients with hemophilia (in combination with appropriate factor replacement therapy): Perioperative blood loss reduction in <i>bilateral</i> total knee arthroplasty (off-label use): Transurethral prostatectomy, blood loss reduction (off-label use): Orthognathic surgery, blood loss reduction (off-label use): Perioperative blood loss reduction in <i>unilateral</i> total knee arthroplasty (off-label use): Hip fracture surgery, blood conservation (off-label use):"
LoSEASONIQUE,Ethinyl estradiol-levonorgestrel,"Contraception With a Sunday start, an additional method of contraception should be used until after the first 7 days of consecutive administration.  Emergency Contraception"
MACROBID,Nitrofurantoin,"UTI, prophylaxis: Cystitis, acute uncomplicated, treatment:"
MACRODANTIN,Nitrofurantoin,"UTI, prophylaxis: Cystitis, acute uncomplicated, treatment:"
MALARONE,Atovaquone-proguanil,Malaria:
MARINOL,Dronabinol,"Chemotherapy-induced nausea and vomiting (manufacturer's labeling): Anorexia in patients with AIDS: Obstructive sleep apnea, moderate to severe (off-label use): Chemotherapy-induced nausea and vomiting, refractory (off-label dosing):"
MAXITROL,Neomycin-polymyxin B-dexamethasone,Inflammatory ocular conditions:
MAXZIDE,Hydrochlorothiazide-triamterene,"Hypertension, edema:"
MAXZIDE-25,Hydrochlorothiazide-triamterene,"Hypertension, edema:"
